event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,sts_miner,3000,161,160,True,0.2515157919999922,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003000_metadata.json,1.0,0.006211180124223602,25.0,250.0,30.0,2.0,13.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003000_attempts.csv
15,stbfm,3000,161,160,True,0.17149991700000555,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003000_metadata.json,1.0,0.006211180124223602,25.0,250.0,30.0,0.0,20.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003000_attempts.csv
15,online_stsp,3500,698,698,True,2.1624909579999994,15.120239083000001,0.006628958000000296,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_003500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_003500_metadata.json,,,,,,,,
15,sts_miner,3500,698,631,True,0.612391333000005,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003500_metadata.json,67.0,0.09598853868194843,105.0,250.0,120.0,96.0,39.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_003500_attempts.csv
15,stbfm,3500,698,657,True,0.45075224999999364,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003500_metadata.json,41.0,0.05873925501432665,105.0,250.0,120.0,0.00390625,40.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_003500_attempts.csv
15,online_stsp,4000,39,39,True,2.232394667000001,17.352633750000003,0.000511834000000988,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_004000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_004000_metadata.json,,,,,,,,
15,sts_miner,4000,39,36,True,0.20353029100002118,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004000_metadata.json,3.0,0.07692307692307693,6.0,250.0,15.0,384.0,11.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004000_attempts.csv
15,stbfm,4000,39,40,True,0.17562912500000039,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004000_metadata.json,1.0,0.02564102564102564,6.0,250.0,15.0,0.0078125,9.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004000_attempts.csv
15,online_stsp,4500,3242,3242,True,2.154089415999998,19.506723166,0.0391392080000017,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_004500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_004500_metadata.json,,,,,,,,
15,sts_miner,4500,3242,3251,True,2.1578815830000053,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004500_metadata.json,9.0,0.0027760641579272056,487.0,250.0,240.0,48.0,48.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_004500_attempts.csv
