algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,8500,695,250.0,15.0,0.0,235,0.39328754199999594,low
stbfm,8500,695,250.0,15.0,1.0,0,0.3835189160000141,high
stbfm,8500,695,250.0,15.0,0.5,0,0.3783665000000269,binary_1
stbfm,8500,695,250.0,15.0,0.25,0,0.3923095000000103,binary_2
stbfm,8500,695,250.0,15.0,0.125,0,0.4251034160000131,binary_3
stbfm,8500,695,250.0,15.0,0.0625,0,0.40933970899999395,binary_4
stbfm,8500,695,250.0,15.0,0.03125,3,0.4018389999999954,binary_5
stbfm,8500,695,250.0,15.0,0.015625,11,0.5255955829999834,binary_6
stbfm,8500,695,250.0,15.0,0.0078125,47,0.4198235829999817,binary_7
stbfm,8500,695,250.0,15.0,0.00390625,87,0.4276035420000426,binary_8
stbfm,8500,695,250.0,30.0,0.0,374,0.50552533299998,low
stbfm,8500,695,250.0,30.0,1.0,0,0.5301564170000006,high
stbfm,8500,695,250.0,30.0,0.5,0,0.7083199999999579,binary_1
stbfm,8500,695,250.0,30.0,0.25,0,0.9073376660000463,binary_2
stbfm,8500,695,250.0,30.0,0.125,0,0.5225808329999495,binary_3
stbfm,8500,695,250.0,30.0,0.0625,0,0.5216631670000424,binary_4
stbfm,8500,695,250.0,30.0,0.03125,5,0.47297141699999656,binary_5
stbfm,8500,695,250.0,30.0,0.015625,27,0.47783733300002496,binary_6
stbfm,8500,695,250.0,30.0,0.0078125,72,0.47251229199997624,binary_7
stbfm,8500,695,250.0,30.0,0.00390625,126,0.49029995799998005,binary_8
stbfm,8500,695,250.0,60.0,0.0,936,0.6327132919999485,low
stbfm,8500,695,250.0,60.0,1.0,0,0.63236195799999,high
stbfm,8500,695,250.0,60.0,0.5,0,0.5727486249999743,binary_1
stbfm,8500,695,250.0,60.0,0.25,0,0.5725940419999915,binary_2
stbfm,8500,695,250.0,60.0,0.125,0,0.5748169159999748,binary_3
stbfm,8500,695,250.0,60.0,0.0625,2,0.5952369170000225,binary_4
stbfm,8500,695,250.0,60.0,0.03125,11,0.5758645419999766,binary_5
stbfm,8500,695,250.0,60.0,0.015625,65,0.5821817080000073,binary_6
stbfm,8500,695,250.0,60.0,0.0078125,115,0.5839472910000154,binary_7
stbfm,8500,695,250.0,60.0,0.00390625,198,0.5933176249999974,binary_8
stbfm,8500,695,250.0,120.0,0.0,2512,0.9170659170000022,low
stbfm,8500,695,250.0,120.0,1.0,0,0.8012462910000409,high
stbfm,8500,695,250.0,120.0,0.5,0,0.802628416999994,binary_1
stbfm,8500,695,250.0,120.0,0.25,0,0.8048089999999775,binary_2
stbfm,8500,695,250.0,120.0,0.125,0,0.8035963329999731,binary_3
stbfm,8500,695,250.0,120.0,0.0625,5,0.9031157919999941,binary_4
stbfm,8500,695,250.0,120.0,0.03125,39,1.3027754160000313,binary_5
stbfm,8500,695,250.0,120.0,0.015625,97,0.918044875000021,binary_6
stbfm,8500,695,250.0,120.0,0.0078125,209,0.8651520000000232,binary_7
stbfm,8500,695,250.0,120.0,0.00390625,418,0.8866357499999822,binary_8
stbfm,8500,695,250.0,240.0,0.0,6920,1.4447587499999486,low
stbfm,8500,695,250.0,240.0,1.0,0,1.262691416999985,high
stbfm,8500,695,250.0,240.0,0.5,0,1.341162875000009,binary_1
stbfm,8500,695,250.0,240.0,0.25,0,1.3359818330000053,binary_2
stbfm,8500,695,250.0,240.0,0.125,2,1.258169415999987,binary_3
stbfm,8500,695,250.0,240.0,0.0625,23,1.3070420409999883,binary_4
stbfm,8500,695,250.0,240.0,0.03125,73,1.2902291670000068,binary_5
stbfm,8500,695,250.0,240.0,0.015625,220,1.324138625000046,binary_6
stbfm,8500,695,250.0,240.0,0.0078125,509,1.4436887090000141,binary_7
stbfm,8500,695,250.0,240.0,0.00390625,1247,1.3238750419999974,binary_8
stbfm,8500,695,500.0,15.0,0.0,906,0.40763104100005876,low
stbfm,8500,695,500.0,15.0,1.0,0,0.4562191249999614,high
stbfm,8500,695,500.0,15.0,0.5,0,0.4245336669999915,binary_1
stbfm,8500,695,500.0,15.0,0.25,0,0.3998446250000143,binary_2
stbfm,8500,695,500.0,15.0,0.125,0,0.38857279199999084,binary_3
stbfm,8500,695,500.0,15.0,0.0625,3,0.3877199579999342,binary_4
stbfm,8500,695,500.0,15.0,0.03125,11,0.39087958300001446,binary_5
stbfm,8500,695,500.0,15.0,0.015625,56,0.4021230829999922,binary_6
stbfm,8500,695,500.0,15.0,0.0078125,123,0.40310666699997455,binary_7
stbfm,8500,695,500.0,15.0,0.00390625,205,0.43327224999995906,binary_8
stbfm,8500,695,500.0,30.0,0.0,3162,0.5309953329999644,low
stbfm,8500,695,500.0,30.0,1.0,0,0.461599332999981,high
stbfm,8500,695,500.0,30.0,0.5,0,0.4924228749999884,binary_1
stbfm,8500,695,500.0,30.0,0.25,0,0.4618000000000393,binary_2
stbfm,8500,695,500.0,30.0,0.125,0,0.46128304199999093,binary_3
stbfm,8500,695,500.0,30.0,0.0625,7,0.46308237499999905,binary_4
stbfm,8500,695,500.0,30.0,0.03125,38,0.47123416600004475,binary_5
stbfm,8500,695,500.0,30.0,0.015625,101,0.4871835829999327,binary_6
stbfm,8500,695,500.0,30.0,0.0078125,234,0.5180902920000108,binary_7
stbfm,8500,695,500.0,30.0,0.00390625,511,0.5085857909999731,binary_8
stbfm,8500,695,500.0,60.0,0.0,11648,0.8362875000000258,low
stbfm,8500,695,500.0,60.0,1.0,0,0.5898901250000108,high
stbfm,8500,695,500.0,60.0,0.5,0,0.5983019579999791,binary_1
stbfm,8500,695,500.0,60.0,0.25,0,0.6275358330000245,binary_2
stbfm,8500,695,500.0,60.0,0.125,4,0.6057719590000943,binary_3
stbfm,8500,695,500.0,60.0,0.0625,25,0.6114472079999587,binary_4
stbfm,8500,695,500.0,60.0,0.03125,97,0.6283968749999076,binary_5
stbfm,8500,695,500.0,60.0,0.015625,259,0.6569642919999978,binary_6
stbfm,8500,695,500.0,60.0,0.0078125,736,0.7684592079999675,binary_7
