event_type_count,online_theta,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
25,0.15,sts_miner,30000,202,210,True,2.705260000017006,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030000_metadata.json,8.0,0.039603960396039604,21.0,250.0,15.0,448.0,12.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030000_attempts.csv
25,0.15,stbfm,30000,202,206,True,3.897023207973689,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030000_metadata.json,4.0,0.019801980198019802,21.0,250.0,120.0,0.015625,38.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030000_attempts.csv
25,0.15,online_stsp,30500,1662,1662,True,5.051899207988754,297.3280753750005,0.02135225001256913,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_030500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_030500_metadata.json,,,,,,,,
25,0.15,sts_miner,30500,1662,1598,True,9.494643792044371,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030500_metadata.json,64.0,0.03850782190132371,167.0,250.0,30.0,96.0,19.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_030500_attempts.csv
25,0.15,stbfm,30500,1662,1711,True,3.212307250010781,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030500_metadata.json,49.0,0.029482551143200964,167.0,500.0,60.0,0.0078125,79.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_030500_attempts.csv
25,0.15,online_stsp,31000,7695,7695,True,5.607690458011348,302.9357658330118,0.23705379199236631,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_031000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_031000_metadata.json,,,,,,,,
25,0.15,sts_miner,31000,7695,8087,True,24.66010679100873,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031000_metadata.json,392.0,0.050942170240415856,770.0,250.0,120.0,112.0,40.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031000_attempts.csv
25,0.15,stbfm,31000,7695,7358,True,1.9407731250394136,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031000_metadata.json,337.0,0.043794671864847305,770.0,500.0,15.0,0.0,60.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031000_attempts.csv
25,0.15,online_stsp,31500,82,82,True,5.362213416956365,308.2979792499682,0.002908665977884084,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_031500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_031500_metadata.json,,,,,,,,
25,0.15,sts_miner,31500,82,80,True,2.1850611669942737,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031500_metadata.json,2.0,0.024390243902439025,9.0,250.0,15.0,616.0,17.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_031500_attempts.csv
