algorithm,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,500,15,15,1.9971878750000003,1.9971878750000003,0.0001519580000000076,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_000500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_000500_metadata.json
online_stsp,1000,2636,264,1.8179324169999997,3.815120292,0.03611012499999955,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001000_metadata.json
online_stsp,1500,448,163,1.7984284170000002,5.613548709,0.005197915999999303,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001500_metadata.json
online_stsp,2000,1611,323,1.8604073750000003,7.473956084000001,0.019247834000001518,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002000_metadata.json
online_stsp,2500,10,10,1.9573237079999988,9.431279792,0.0004536249999986808,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002500_metadata.json
online_stsp,3000,144,100,1.9498109170000006,11.381090709,0.001453041999999627,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_003000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_003000_metadata.json
online_stsp,3500,302,179,1.986226041,13.36731675,0.002638750000000911,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_003500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_003500_metadata.json
online_stsp,4000,22,22,2.2990492089999996,15.666365959,0.0002611250000015275,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_004000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_004000_metadata.json
online_stsp,4500,1356,321,1.8903923750000011,17.556758334,0.014071083000001039,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_004500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_004500_metadata.json
online_stsp,5000,607,163,1.7222918329999999,19.279050167,0.007392667000001296,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_005000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_005000_metadata.json
