algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,5000,150,250.0,15.0,0.0,173,0.2450755840036436,low
stbfm,5000,150,250.0,15.0,1.0,0,0.22092541600432014,high
stbfm,5000,150,250.0,15.0,0.5,0,0.21735637500387384,binary_1
stbfm,5000,150,250.0,15.0,0.25,0,0.21800970800541108,binary_2
stbfm,5000,150,250.0,15.0,0.125,0,0.2212904999978491,binary_3
stbfm,5000,150,250.0,15.0,0.0625,0,0.21801316700293683,binary_4
stbfm,5000,150,250.0,15.0,0.03125,4,0.21755387500161305,binary_5
stbfm,5000,150,250.0,15.0,0.015625,14,0.21808641700044973,binary_6
stbfm,5000,150,250.0,15.0,0.0078125,45,0.21854779199929908,binary_7
stbfm,5000,150,250.0,15.0,0.00390625,101,0.22143887499987613,binary_8
stbfm,5000,150,250.0,30.0,0.0,265,0.2618358750041807,low
stbfm,5000,150,250.0,30.0,1.0,0,0.255731500001275,high
stbfm,5000,150,250.0,30.0,0.5,0,0.2550915000028908,binary_1
stbfm,5000,150,250.0,30.0,0.25,0,0.2577758330007782,binary_2
stbfm,5000,150,250.0,30.0,0.125,0,0.28158183300547535,binary_3
stbfm,5000,150,250.0,30.0,0.0625,1,0.2549919589946512,binary_4
stbfm,5000,150,250.0,30.0,0.03125,5,0.2555472500025644,binary_5
stbfm,5000,150,250.0,30.0,0.015625,32,0.2606770830025198,binary_6
stbfm,5000,150,250.0,30.0,0.0078125,73,0.25828120799997123,binary_7
stbfm,5000,150,250.0,30.0,0.00390625,140,0.26069874999666354,binary_8
