algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,45500,1620,250.0,15.0,0.0,709,2.1459833750013786,low
stbfm,45500,1620,250.0,15.0,1.0,0,2.0900862089984003,high
stbfm,45500,1620,250.0,15.0,0.5,0,2.09174258299754,binary_1
stbfm,45500,1620,250.0,15.0,0.25,0,2.103053834001912,binary_2
stbfm,45500,1620,250.0,15.0,0.125,0,2.0893850829997973,binary_3
stbfm,45500,1620,250.0,15.0,0.0625,0,2.0947459579983843,binary_4
stbfm,45500,1620,250.0,15.0,0.03125,2,2.1095167080020474,binary_5
stbfm,45500,1620,250.0,15.0,0.015625,10,2.1057152909997967,binary_6
stbfm,45500,1620,250.0,15.0,0.0078125,49,2.1219042080010695,binary_7
stbfm,45500,1620,250.0,15.0,0.00390625,106,2.147197457998118,binary_8
stbfm,45500,1620,250.0,30.0,0.0,1164,2.5974930840020534,low
stbfm,45500,1620,250.0,30.0,1.0,0,2.453094124997733,high
stbfm,45500,1620,250.0,30.0,0.5,0,2.5310257919991273,binary_1
stbfm,45500,1620,250.0,30.0,0.25,0,2.470620500000223,binary_2
stbfm,45500,1620,250.0,30.0,0.125,0,2.482682958001533,binary_3
stbfm,45500,1620,250.0,30.0,0.0625,0,2.485022000000754,binary_4
stbfm,45500,1620,250.0,30.0,0.03125,4,2.4730782080005156,binary_5
stbfm,45500,1620,250.0,30.0,0.015625,25,2.5013666249978996,binary_6
stbfm,45500,1620,250.0,30.0,0.0078125,75,2.5276444999981322,binary_7
stbfm,45500,1620,250.0,30.0,0.00390625,140,2.5609832919981272,binary_8
stbfm,45500,1620,250.0,60.0,0.0,3133,3.3825324999997974,low
stbfm,45500,1620,250.0,60.0,1.0,0,3.1604708329978166,high
stbfm,45500,1620,250.0,60.0,0.5,0,3.2481457499998214,binary_1
stbfm,45500,1620,250.0,60.0,0.25,0,3.193211333000363,binary_2
stbfm,45500,1620,250.0,60.0,0.125,0,3.1862897500031977,binary_3
stbfm,45500,1620,250.0,60.0,0.0625,2,3.179952250000497,binary_4
stbfm,45500,1620,250.0,60.0,0.03125,11,3.2000085419967945,binary_5
stbfm,45500,1620,250.0,60.0,0.015625,50,3.2463845830025093,binary_6
stbfm,45500,1620,250.0,60.0,0.0078125,115,3.2771565830007603,binary_7
stbfm,45500,1620,250.0,60.0,0.00390625,202,3.3005207919995883,binary_8
stbfm,45500,1620,250.0,120.0,0.0,8837,4.849330624998402,low
stbfm,45500,1620,250.0,120.0,1.0,0,4.555519249999634,high
stbfm,45500,1620,250.0,120.0,0.5,0,4.480983249999554,binary_1
stbfm,45500,1620,250.0,120.0,0.25,0,4.486581542001659,binary_2
stbfm,45500,1620,250.0,120.0,0.125,1,4.459452208997391,binary_3
stbfm,45500,1620,250.0,120.0,0.0625,4,4.515096833001735,binary_4
stbfm,45500,1620,250.0,120.0,0.03125,31,4.543281124999339,binary_5
stbfm,45500,1620,250.0,120.0,0.015625,96,4.611930499999289,binary_6
stbfm,45500,1620,250.0,120.0,0.0078125,200,4.649433250000584,binary_7
stbfm,45500,1620,250.0,120.0,0.00390625,368,4.682306541999424,binary_8
stbfm,45500,1620,250.0,240.0,0.0,25390,7.612632000000303,low
stbfm,45500,1620,250.0,240.0,1.0,0,6.7865519170009065,high
