algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,19000,5195,250.0,15.0,0.0,432,0.8895975420000468,low
stbfm,19000,5195,250.0,15.0,1.0,0,0.8419714589999785,high
stbfm,19000,5195,250.0,15.0,0.5,0,0.87289920800049,binary_1
stbfm,19000,5195,250.0,15.0,0.25,0,0.8473556250000911,binary_2
stbfm,19000,5195,250.0,15.0,0.125,0,0.8447775419999743,binary_3
stbfm,19000,5195,250.0,15.0,0.0625,0,0.8693777919997956,binary_4
stbfm,19000,5195,250.0,15.0,0.03125,3,0.8543435420006062,binary_5
stbfm,19000,5195,250.0,15.0,0.015625,10,0.8768302079997738,binary_6
stbfm,19000,5195,250.0,15.0,0.0078125,46,0.8512833329996283,binary_7
stbfm,19000,5195,250.0,15.0,0.00390625,97,0.856184833000043,binary_8
stbfm,19000,5195,250.0,30.0,0.0,641,1.0596414589999767,low
stbfm,19000,5195,250.0,30.0,1.0,0,1.0059713749997172,high
stbfm,19000,5195,250.0,30.0,0.5,0,1.0318537499997547,binary_1
stbfm,19000,5195,250.0,30.0,0.25,0,1.0048708750000515,binary_2
stbfm,19000,5195,250.0,30.0,0.125,0,1.003042875000574,binary_3
stbfm,19000,5195,250.0,30.0,0.0625,0,1.0285129579997374,binary_4
stbfm,19000,5195,250.0,30.0,0.03125,3,1.0081696249999368,binary_5
stbfm,19000,5195,250.0,30.0,0.015625,26,1.0394648749997941,binary_6
stbfm,19000,5195,250.0,30.0,0.0078125,75,1.015673500000048,binary_7
stbfm,19000,5195,250.0,30.0,0.00390625,130,1.0523097499999494,binary_8
stbfm,19000,5195,250.0,60.0,0.0,1570,1.3491917080000349,low
stbfm,19000,5195,250.0,60.0,1.0,0,1.3021987909996824,high
stbfm,19000,5195,250.0,60.0,0.5,0,1.325494083999729,binary_1
stbfm,19000,5195,250.0,60.0,0.25,0,1.2950028750001366,binary_2
stbfm,19000,5195,250.0,60.0,0.125,0,1.3202027079996697,binary_3
stbfm,19000,5195,250.0,60.0,0.0625,3,1.3014260410000134,binary_4
stbfm,19000,5195,250.0,60.0,0.03125,10,1.3359352920006131,binary_5
stbfm,19000,5195,250.0,60.0,0.015625,53,1.3137091660000806,binary_6
stbfm,19000,5195,250.0,60.0,0.0078125,116,1.3235862499996074,binary_7
stbfm,19000,5195,250.0,60.0,0.00390625,205,1.3580691670003944,binary_8
stbfm,19000,5195,250.0,120.0,0.0,4482,1.9807314999998198,low
stbfm,19000,5195,250.0,120.0,1.0,0,1.8314326250001614,high
stbfm,19000,5195,250.0,120.0,0.5,0,1.846514500000012,binary_1
stbfm,19000,5195,250.0,120.0,0.25,0,1.874604458000249,binary_2
stbfm,19000,5195,250.0,120.0,0.125,1,1.8375711250000677,binary_3
stbfm,19000,5195,250.0,120.0,0.0625,5,1.8473280830003205,binary_4
stbfm,19000,5195,250.0,120.0,0.03125,32,1.8676595830002043,binary_5
stbfm,19000,5195,250.0,120.0,0.015625,98,1.8762154590003775,binary_6
stbfm,19000,5195,250.0,120.0,0.0078125,205,1.908211625000149,binary_7
stbfm,19000,5195,250.0,120.0,0.00390625,412,1.8984021249998477,binary_8
stbfm,19000,5195,250.0,240.0,0.0,14477,3.1326320419993863,low
stbfm,19000,5195,250.0,240.0,1.0,0,2.7310545419995833,high
stbfm,19000,5195,250.0,240.0,0.5,0,2.7286648750005043,binary_1
stbfm,19000,5195,250.0,240.0,0.25,0,2.726578167000298,binary_2
stbfm,19000,5195,250.0,240.0,0.125,4,2.768158332999519,binary_3
stbfm,19000,5195,250.0,240.0,0.0625,24,2.764097875000516,binary_4
stbfm,19000,5195,250.0,240.0,0.03125,75,2.7920296669999516,binary_5
stbfm,19000,5195,250.0,240.0,0.015625,199,2.861609208000118,binary_6
stbfm,19000,5195,250.0,240.0,0.0078125,483,2.915912374999607,binary_7
stbfm,19000,5195,250.0,240.0,0.00390625,1245,2.9469016250004643,binary_8
stbfm,19000,5195,500.0,15.0,0.0,1631,0.8992612500005635,low
stbfm,19000,5195,500.0,15.0,1.0,0,0.882319667000047,high
stbfm,19000,5195,500.0,15.0,0.5,0,0.845628250000118,binary_1
stbfm,19000,5195,500.0,15.0,0.25,0,0.843728290999934,binary_2
stbfm,19000,5195,500.0,15.0,0.125,0,0.8781917079995765,binary_3
stbfm,19000,5195,500.0,15.0,0.0625,3,0.8445685000006051,binary_4
stbfm,19000,5195,500.0,15.0,0.03125,10,0.8774624170000607,binary_5
stbfm,19000,5195,500.0,15.0,0.015625,48,0.8560145839992401,binary_6
stbfm,19000,5195,500.0,15.0,0.0078125,116,0.8723719159997927,binary_7
stbfm,19000,5195,500.0,15.0,0.00390625,207,0.9124979159996656,binary_8
stbfm,19000,5195,500.0,30.0,0.0,5311,1.1381559159999597,low
stbfm,19000,5195,500.0,30.0,1.0,0,1.040675583999473,high
stbfm,19000,5195,500.0,30.0,0.5,0,1.0076286670000627,binary_1
stbfm,19000,5195,500.0,30.0,0.25,0,1.030542792000233,binary_2
stbfm,19000,5195,500.0,30.0,0.125,0,1.0120712919997459,binary_3
stbfm,19000,5195,500.0,30.0,0.0625,7,1.0328980410004078,binary_4
stbfm,19000,5195,500.0,30.0,0.03125,33,1.0200977499998771,binary_5
stbfm,19000,5195,500.0,30.0,0.015625,111,1.055649791000178,binary_6
stbfm,19000,5195,500.0,30.0,0.0078125,214,1.0903975000001083,binary_7
stbfm,19000,5195,500.0,30.0,0.00390625,477,1.0778700840000965,binary_8
