algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,35500,9396,250.0,15.0,0.0,633,1.6455940420019033,low
stbfm,35500,9396,250.0,15.0,1.0,0,1.6313717079974595,high
stbfm,35500,9396,250.0,15.0,0.5,0,1.6418014580012823,binary_1
stbfm,35500,9396,250.0,15.0,0.25,0,1.6020339579990832,binary_2
stbfm,35500,9396,250.0,15.0,0.125,0,1.6388349580010981,binary_3
stbfm,35500,9396,250.0,15.0,0.0625,0,1.6220323750021635,binary_4
stbfm,35500,9396,250.0,15.0,0.03125,2,1.6364381669991417,binary_5
stbfm,35500,9396,250.0,15.0,0.015625,10,1.6174132080013806,binary_6
stbfm,35500,9396,250.0,15.0,0.0078125,47,1.654462834001606,binary_7
stbfm,35500,9396,250.0,15.0,0.00390625,101,1.6581819589991937,binary_8
stbfm,35500,9396,250.0,30.0,0.0,1017,1.9923016249995271,low
stbfm,35500,9396,250.0,30.0,1.0,0,1.9604038750003383,high
stbfm,35500,9396,250.0,30.0,0.5,0,1.8987188330029312,binary_1
stbfm,35500,9396,250.0,30.0,0.25,0,1.931316957998206,binary_2
stbfm,35500,9396,250.0,30.0,0.125,0,1.933053666001797,binary_3
stbfm,35500,9396,250.0,30.0,0.0625,0,1.9026912919980532,binary_4
stbfm,35500,9396,250.0,30.0,0.03125,3,1.935150249999424,binary_5
stbfm,35500,9396,250.0,30.0,0.015625,25,1.9364248329984548,binary_6
stbfm,35500,9396,250.0,30.0,0.0078125,75,1.9672645409991674,binary_7
stbfm,35500,9396,250.0,30.0,0.00390625,136,1.96150545799901,binary_8
stbfm,35500,9396,250.0,60.0,0.0,2687,2.613933041000564,low
stbfm,35500,9396,250.0,60.0,1.0,0,2.500446957998065,high
stbfm,35500,9396,250.0,60.0,0.5,0,2.4877119159973518,binary_1
stbfm,35500,9396,250.0,60.0,0.25,0,2.4879882089990133,binary_2
stbfm,35500,9396,250.0,60.0,0.125,0,2.4907476250009495,binary_3
stbfm,35500,9396,250.0,60.0,0.0625,3,2.482139042000199,binary_4
stbfm,35500,9396,250.0,60.0,0.03125,10,2.5020912920008413,binary_5
stbfm,35500,9396,250.0,60.0,0.015625,53,2.5095492909968016,binary_6
stbfm,35500,9396,250.0,60.0,0.0078125,116,2.5464807499993185,binary_7
stbfm,35500,9396,250.0,60.0,0.00390625,208,2.573047290999966,binary_8
stbfm,35500,9396,250.0,120.0,0.0,7410,3.7736876669987396,low
stbfm,35500,9396,250.0,120.0,1.0,0,3.5377384579987847,high
stbfm,35500,9396,250.0,120.0,0.5,0,3.51107254100134,binary_1
stbfm,35500,9396,250.0,120.0,0.25,0,3.5166653750020487,binary_2
stbfm,35500,9396,250.0,120.0,0.125,1,3.4914254159994016,binary_3
stbfm,35500,9396,250.0,120.0,0.0625,5,3.5189555840006506,binary_4
stbfm,35500,9396,250.0,120.0,0.03125,31,3.5545731249985693,binary_5
stbfm,35500,9396,250.0,120.0,0.015625,100,3.5994555830002355,binary_6
stbfm,35500,9396,250.0,120.0,0.0078125,204,3.6002538329994422,binary_7
stbfm,35500,9396,250.0,120.0,0.00390625,386,3.67502500000046,binary_8
stbfm,35500,9396,250.0,240.0,0.0,22000,5.993228707997332,low
stbfm,35500,9396,250.0,240.0,1.0,0,5.246581791998324,high
stbfm,35500,9396,250.0,240.0,0.5,0,5.225559457998315,binary_1
stbfm,35500,9396,250.0,240.0,0.25,0,5.315111791998788,binary_2
stbfm,35500,9396,250.0,240.0,0.125,3,5.258154541999829,binary_3
stbfm,35500,9396,250.0,240.0,0.0625,20,5.304027583002608,binary_4
stbfm,35500,9396,250.0,240.0,0.03125,74,5.391022959000111,binary_5
stbfm,35500,9396,250.0,240.0,0.015625,200,5.471114333002333,binary_6
stbfm,35500,9396,250.0,240.0,0.0078125,477,5.516103457997815,binary_7
stbfm,35500,9396,250.0,240.0,0.00390625,1248,5.6201403749983,binary_8
stbfm,35500,9396,500.0,15.0,0.0,2545,1.7349223330020322,low
stbfm,35500,9396,500.0,15.0,1.0,0,1.6594245839987707,high
stbfm,35500,9396,500.0,15.0,0.5,0,1.6289564580001752,binary_1
stbfm,35500,9396,500.0,15.0,0.25,0,1.6283426669979235,binary_2
stbfm,35500,9396,500.0,15.0,0.125,0,1.6275302920003014,binary_3
stbfm,35500,9396,500.0,15.0,0.0625,3,1.6313067500013858,binary_4
stbfm,35500,9396,500.0,15.0,0.03125,11,1.61803195900211,binary_5
stbfm,35500,9396,500.0,15.0,0.015625,47,1.656687917002273,binary_6
stbfm,35500,9396,500.0,15.0,0.0078125,120,1.6940137500023411,binary_7
stbfm,35500,9396,500.0,15.0,0.00390625,199,1.706212583998422,binary_8
stbfm,35500,9396,500.0,30.0,0.0,8699,2.189626583000063,low
stbfm,35500,9396,500.0,30.0,1.0,0,1.9668572500013397,high
stbfm,35500,9396,500.0,30.0,0.5,0,1.9356580409985327,binary_1
stbfm,35500,9396,500.0,30.0,0.25,0,1.914869499996712,binary_2
stbfm,35500,9396,500.0,30.0,0.125,0,1.9358834580016264,binary_3
stbfm,35500,9396,500.0,30.0,0.0625,6,1.9093864999995276,binary_4
stbfm,35500,9396,500.0,30.0,0.03125,30,1.9747258329989563,binary_5
stbfm,35500,9396,500.0,30.0,0.015625,110,2.0100238750019344,binary_6
stbfm,35500,9396,500.0,30.0,0.0078125,221,2.052930750000087,binary_7
stbfm,35500,9396,500.0,30.0,0.00390625,442,2.034120874999644,binary_8
