algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,11000,8,250.0,15.0,1.0,574,1.6296646659611724,low
sts_miner,11000,8,250.0,15.0,2.0,574,1.6452879590215161,high
sts_miner,11000,8,250.0,15.0,4.0,574,1.6535523330094293,expand_high
sts_miner,11000,8,250.0,15.0,8.0,574,1.6297768339863978,expand_high
sts_miner,11000,8,250.0,15.0,16.0,574,1.6332396250218153,expand_high
sts_miner,11000,8,250.0,15.0,32.0,562,1.613199417013675,expand_high
sts_miner,11000,8,250.0,15.0,64.0,523,1.575597791990731,expand_high
sts_miner,11000,8,250.0,15.0,128.0,416,1.3643439590232447,expand_high
sts_miner,11000,8,250.0,15.0,256.0,263,1.09467666601995,expand_high
sts_miner,11000,8,250.0,15.0,512.0,102,0.7839984160382301,expand_high
sts_miner,11000,8,250.0,15.0,1024.0,14,0.6240789999719709,expand_high
sts_miner,11000,8,250.0,15.0,2048.0,0,0.6218501249677502,expand_high
sts_miner,11000,8,250.0,15.0,1536.0,5,0.6053265419905074,binary_1
sts_miner,11000,8,250.0,15.0,1280.0,5,0.6058859580080025,binary_2
sts_miner,11000,8,250.0,15.0,1152.0,9,0.6205572920152918,binary_3
