algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,2000,230,250.0,15.0,0.0,131,0.1010268329991959,low
stbfm,2000,230,250.0,15.0,1.0,0,0.09863212500931695,high
stbfm,2000,230,250.0,15.0,0.5,0,0.10148720801225863,binary_1
stbfm,2000,230,250.0,15.0,0.25,0,0.1004765419929754,binary_2
stbfm,2000,230,250.0,15.0,0.125,0,0.1003277080017142,binary_3
stbfm,2000,230,250.0,15.0,0.0625,2,0.09887895900465082,binary_4
stbfm,2000,230,250.0,15.0,0.03125,9,0.09891400000196882,binary_5
stbfm,2000,230,250.0,15.0,0.015625,31,0.09925083299458493,binary_6
stbfm,2000,230,250.0,15.0,0.0078125,83,0.10021600000618491,binary_7
stbfm,2000,230,250.0,15.0,0.00390625,131,0.10100737499305978,binary_8
stbfm,2000,230,250.0,30.0,0.0,185,0.12049695900350343,low
stbfm,2000,230,250.0,30.0,1.0,0,0.11810558299475815,high
stbfm,2000,230,250.0,30.0,0.5,0,0.1174889170069946,binary_1
stbfm,2000,230,250.0,30.0,0.25,0,0.11748979199910536,binary_2
stbfm,2000,230,250.0,30.0,0.125,0,0.11727708400576375,binary_3
stbfm,2000,230,250.0,30.0,0.0625,4,0.11679504100175109,binary_4
stbfm,2000,230,250.0,30.0,0.03125,14,0.11770745800458826,binary_5
stbfm,2000,230,250.0,30.0,0.015625,56,0.11863016600545961,binary_6
stbfm,2000,230,250.0,30.0,0.0078125,118,0.12115875000017695,binary_7
stbfm,2000,230,250.0,30.0,0.00390625,185,0.12075874999572989,binary_8
stbfm,2000,230,250.0,60.0,0.0,379,0.15795824999804609,low
stbfm,2000,230,250.0,60.0,1.0,0,0.15019762500014622,high
stbfm,2000,230,250.0,60.0,0.5,0,0.1498238750064047,binary_1
stbfm,2000,230,250.0,60.0,0.25,0,0.1498989999963669,binary_2
stbfm,2000,230,250.0,60.0,0.125,2,0.15047704199969303,binary_3
stbfm,2000,230,250.0,60.0,0.0625,7,0.1497564580058679,binary_4
stbfm,2000,230,250.0,60.0,0.03125,29,0.1508495409943862,binary_5
stbfm,2000,230,250.0,60.0,0.015625,93,0.15214150000247173,binary_6
stbfm,2000,230,250.0,60.0,0.0078125,212,0.1961378749983851,binary_7
