algorithm,online_theta,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,0.2,22000,3497,540,2.645035084016854,116.55929233401548,0.05047708301572129,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022000_metadata.json
online_stsp,0.2,22500,385,193,2.9622229159867857,119.52151525000227,0.00448362497263588,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022500_metadata.json
online_stsp,0.2,23000,890,241,2.749694041995099,122.27120929199737,0.01072862499859184,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_023000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_023000_metadata.json
online_stsp,0.2,23500,5,5,2.616537458001403,124.88774674999877,0.0002554170205257833,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_023500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_023500_metadata.json
online_stsp,0.2,24000,233,166,2.5249805840139743,127.41272733401274,0.0021411660127341747,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_024000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_024000_metadata.json
online_stsp,0.2,24500,185,150,2.6998540409840643,130.1125813749968,0.0015809580218046904,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_024500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_024500_metadata.json
online_stsp,0.2,25000,1964,503,2.482618709007511,132.59520008400432,0.028289999987464398,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_025000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_025000_metadata.json
online_stsp,0.2,25500,855,316,2.807204165990697,135.40240424999502,0.010176457988563925,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_025500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_025500_metadata.json
online_stsp,0.2,26000,54,54,2.82736587501131,138.22977012500633,0.0006396670069079846,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_026000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_026000_metadata.json
online_stsp,0.2,26500,3105,521,2.664473334007198,140.89424345901352,0.1012943749956321,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_026500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_026500_metadata.json
