algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,12000,86,250.0,15.0,1.0,324,1.2103817499998968,low
sts_miner,12000,86,250.0,15.0,2.0,324,1.1814622080000845,high
sts_miner,12000,86,250.0,15.0,4.0,324,1.1775594170001114,expand_high
sts_miner,12000,86,250.0,15.0,8.0,323,1.1929567499998939,expand_high
sts_miner,12000,86,250.0,15.0,16.0,316,1.1614242499999818,expand_high
sts_miner,12000,86,250.0,15.0,32.0,302,1.145278499999904,expand_high
sts_miner,12000,86,250.0,15.0,64.0,266,1.0744910420000906,expand_high
sts_miner,12000,86,250.0,15.0,128.0,206,0.9780534169999555,expand_high
sts_miner,12000,86,250.0,15.0,256.0,80,0.7135152079999898,expand_high
sts_miner,12000,86,250.0,15.0,192.0,116,0.7819074999999884,binary_1
sts_miner,12000,86,250.0,15.0,224.0,106,0.7553078340001775,binary_2
sts_miner,12000,86,250.0,15.0,240.0,93,0.7509847090000221,binary_3
