event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,online_stsp,500,15,15,True,1.9971878750000003,1.9971878750000003,0.0001519580000000076,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_000500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_000500_metadata.json,,,,,,,,
15,sts_miner,500,15,15,True,0.024679790999996953,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_000500_metadata.json,0.0,0.0,3.0,250.0,15.0,384.0,11.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_000500_attempts.csv
15,stbfm,500,15,16,True,0.022321749999996143,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_000500_metadata.json,1.0,0.06666666666666667,3.0,250.0,15.0,0.03125,7.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_000500_attempts.csv
15,online_stsp,1000,2636,2636,True,1.8179324169999997,3.815120292,0.03611012499999955,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001000_metadata.json,,,,,,,,
15,sts_miner,1000,2636,2573,True,0.37144012500000656,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001000_metadata.json,63.0,0.023899848254931716,396.0,500.0,60.0,2.0,73.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001000_attempts.csv
15,stbfm,1000,2636,2573,True,0.09719587499999705,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001000_metadata.json,63.0,0.023899848254931716,396.0,500.0,60.0,0.0,79.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001000_attempts.csv
15,online_stsp,1500,448,448,True,1.7984284170000002,5.613548709,0.005197915999999303,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001500_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_001500_metadata.json,,,,,,,,
15,sts_miner,1500,448,445,True,0.2374346250000059,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001500_metadata.json,3.0,0.006696428571428571,68.0,250.0,120.0,112.0,40.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/sts_miner/sts_miner_001500_attempts.csv
15,stbfm,1500,448,508,True,0.20021466699999735,,,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001500_metadata.json,60.0,0.13392857142857142,68.0,250.0,240.0,0.015625,48.0,Results/Quantitative_experiment/run_20260521_120653/event_types_15/stbfm/stbfm_001500_attempts.csv
15,online_stsp,2000,1611,1611,True,1.8604073750000003,7.473956084000001,0.019247834000001518,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002000_patterns.csv,Results/Quantitative_experiment/run_20260521_120653/event_types_15/online/online_snapshot_002000_metadata.json,,,,,,,,
