algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,16000,592,250.0,15.0,1.0,399,1.7288508750061737,low
sts_miner,16000,592,250.0,15.0,2.0,399,1.7573210830014432,high
sts_miner,16000,592,250.0,15.0,1.5,399,1.721704083000077,binary_1
sts_miner,16000,592,250.0,15.0,1.25,399,1.756005166003888,binary_2
sts_miner,16000,592,250.0,15.0,1.125,399,1.7201061669984483,binary_3
sts_miner,16000,592,250.0,15.0,1.0625,399,1.7288826660005725,binary_4
sts_miner,16000,592,250.0,15.0,1.03125,399,1.7445411669978057,binary_5
sts_miner,16000,592,250.0,15.0,1.015625,399,1.7415990000008605,binary_6
sts_miner,16000,592,250.0,15.0,1.0078125,399,1.7196234580042074,binary_7
sts_miner,16000,592,250.0,15.0,1.00390625,399,1.747425875000772,binary_8
sts_miner,16000,592,250.0,30.0,1.0,583,2.2809869589982554,low
sts_miner,16000,592,250.0,30.0,2.0,583,2.2708409170008963,high
sts_miner,16000,592,250.0,30.0,1.5,583,2.305184666001878,binary_1
