algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,17500,97,250.0,15.0,1.0,413,1.9550147079935414,low
sts_miner,17500,97,250.0,15.0,2.0,413,1.9328519999980927,high
sts_miner,17500,97,250.0,15.0,4.0,413,1.916397250002774,expand_high
sts_miner,17500,97,250.0,15.0,8.0,412,1.9559628749993863,expand_high
sts_miner,17500,97,250.0,15.0,16.0,402,1.9252088329958497,expand_high
sts_miner,17500,97,250.0,15.0,32.0,378,1.831851540999196,expand_high
sts_miner,17500,97,250.0,15.0,64.0,303,1.6819354169929284,expand_high
sts_miner,17500,97,250.0,15.0,128.0,227,1.4314385410034447,expand_high
sts_miner,17500,97,250.0,15.0,256.0,73,1.0332807080048951,expand_high
sts_miner,17500,97,250.0,15.0,192.0,138,1.1883052910052356,binary_1
sts_miner,17500,97,250.0,15.0,224.0,99,1.069163917003607,binary_2
