algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,24000,569,250.0,15.0,0.0,1111,1.3747217080090195,low
stbfm,24000,569,250.0,15.0,1.0,0,1.3541244579828344,high
stbfm,24000,569,250.0,15.0,0.5,0,1.3164127089548856,binary_1
stbfm,24000,569,250.0,15.0,0.25,0,1.3433646249468438,binary_2
stbfm,24000,569,250.0,15.0,0.125,0,1.3147602080134675,binary_3
stbfm,24000,569,250.0,15.0,0.0625,0,1.3552121669636108,binary_4
stbfm,24000,569,250.0,15.0,0.03125,6,1.3146237909677438,binary_5
stbfm,24000,569,250.0,15.0,0.015625,30,1.3293853329960257,binary_6
stbfm,24000,569,250.0,15.0,0.0078125,111,1.3627850419725291,binary_7
stbfm,24000,569,250.0,15.0,0.00390625,233,1.371029041998554,binary_8
stbfm,24000,569,250.0,30.0,0.0,1901,1.677175416960381,low
stbfm,24000,569,250.0,30.0,1.0,0,1.6324277500389144,high
stbfm,24000,569,250.0,30.0,0.5,0,1.5901671660249121,binary_1
stbfm,24000,569,250.0,30.0,0.25,0,1.6088083339855075,binary_2
stbfm,24000,569,250.0,30.0,0.125,0,1.5853916669730097,binary_3
stbfm,24000,569,250.0,30.0,0.0625,1,1.612959707970731,binary_4
stbfm,24000,569,250.0,30.0,0.03125,9,1.5902460829820484,binary_5
stbfm,24000,569,250.0,30.0,0.015625,63,1.6424632919952273,binary_6
stbfm,24000,569,250.0,30.0,0.0078125,172,1.626160624960903,binary_7
stbfm,24000,569,250.0,30.0,0.00390625,343,1.6643984579714015,binary_8
stbfm,24000,569,250.0,60.0,0.0,4698,2.255622124997899,low
stbfm,24000,569,250.0,60.0,1.0,0,2.0841339170001447,high
stbfm,24000,569,250.0,60.0,0.5,0,2.133855957945343,binary_1
stbfm,24000,569,250.0,60.0,0.25,0,2.0826094999792986,binary_2
stbfm,24000,569,250.0,60.0,0.125,0,2.116807417012751,binary_3
stbfm,24000,569,250.0,60.0,0.0625,6,2.0955412500188686,binary_4
stbfm,24000,569,250.0,60.0,0.03125,28,2.116727125016041,binary_5
stbfm,24000,569,250.0,60.0,0.015625,120,2.119068750005681,binary_6
stbfm,24000,569,250.0,60.0,0.0078125,279,2.1845388330402784,binary_7
stbfm,24000,569,250.0,60.0,0.00390625,590,2.1757395829772577,binary_8
