algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,26000,898,250.0,15.0,0.0,1149,1.5066604579915293,low
stbfm,26000,898,250.0,15.0,1.0,0,1.4273134170216508,high
stbfm,26000,898,250.0,15.0,0.5,0,1.4652002499788068,binary_1
stbfm,26000,898,250.0,15.0,0.25,0,1.4277568749967031,binary_2
stbfm,26000,898,250.0,15.0,0.125,0,1.451113625022117,binary_3
stbfm,26000,898,250.0,15.0,0.0625,0,1.4527063749847002,binary_4
stbfm,26000,898,250.0,15.0,0.03125,5,1.4259036669973284,binary_5
stbfm,26000,898,250.0,15.0,0.015625,32,1.4682300409767777,binary_6
stbfm,26000,898,250.0,15.0,0.0078125,112,1.4461831669905223,binary_7
stbfm,26000,898,250.0,15.0,0.00390625,235,1.5095925420173444,binary_8
stbfm,26000,898,250.0,30.0,0.0,1987,1.8140846250462346,low
stbfm,26000,898,250.0,30.0,1.0,0,1.7664622499723919,high
stbfm,26000,898,250.0,30.0,0.5,0,1.7480722079635598,binary_1
stbfm,26000,898,250.0,30.0,0.25,0,1.7202089169877581,binary_2
stbfm,26000,898,250.0,30.0,0.125,0,1.757390042010229,binary_3
stbfm,26000,898,250.0,30.0,0.0625,1,1.7282147079822607,binary_4
stbfm,26000,898,250.0,30.0,0.03125,10,1.7663844999624416,binary_5
stbfm,26000,898,250.0,30.0,0.015625,61,1.7349168750224635,binary_6
stbfm,26000,898,250.0,30.0,0.0078125,167,1.7878009590203874,binary_7
stbfm,26000,898,250.0,30.0,0.00390625,345,1.768480291008018,binary_8
stbfm,26000,898,250.0,60.0,0.0,5067,2.4694480419857427,low
stbfm,26000,898,250.0,60.0,1.0,0,2.3115763329551555,high
stbfm,26000,898,250.0,60.0,0.5,0,2.2922153749968857,binary_1
stbfm,26000,898,250.0,60.0,0.25,0,2.2556532500311732,binary_2
stbfm,26000,898,250.0,60.0,0.125,0,2.261711791041307,binary_3
stbfm,26000,898,250.0,60.0,0.0625,7,2.297866459004581,binary_4
stbfm,26000,898,250.0,60.0,0.03125,26,2.3041831250302494,binary_5
stbfm,26000,898,250.0,60.0,0.015625,113,2.3007140409899876,binary_6
stbfm,26000,898,250.0,60.0,0.0078125,272,2.3504832909675315,binary_7
stbfm,26000,898,250.0,60.0,0.00390625,573,2.3591236250358634,binary_8
stbfm,26000,898,250.0,120.0,0.0,17510,3.6794107910245657,low
stbfm,26000,898,250.0,120.0,1.0,0,3.262889792036731,high
stbfm,26000,898,250.0,120.0,0.5,0,3.2353964999783784,binary_1
stbfm,26000,898,250.0,120.0,0.25,0,3.2682471250300296,binary_2
stbfm,26000,898,250.0,120.0,0.125,3,3.2422885000123642,binary_3
stbfm,26000,898,250.0,120.0,0.0625,13,3.27726345800329,binary_4
stbfm,26000,898,250.0,120.0,0.03125,69,3.2616056249826215,binary_5
stbfm,26000,898,250.0,120.0,0.015625,213,3.3467221669852734,binary_6
stbfm,26000,898,250.0,120.0,0.0078125,499,3.4328291669953614,binary_7
stbfm,26000,898,250.0,120.0,0.00390625,1151,3.408551292028278,binary_8
stbfm,26000,898,250.0,240.0,0.0,64697,6.290494957996998,low
stbfm,26000,898,250.0,240.0,1.0,0,4.854994957975578,high
stbfm,26000,898,250.0,240.0,0.5,0,4.86232099996414,binary_1
stbfm,26000,898,250.0,240.0,0.25,0,4.947760707989801,binary_2
stbfm,26000,898,250.0,240.0,0.125,8,4.875336333003361,binary_3
stbfm,26000,898,250.0,240.0,0.0625,45,4.983511707978323,binary_4
stbfm,26000,898,250.0,240.0,0.03125,162,5.018235500028823,binary_5
stbfm,26000,898,250.0,240.0,0.015625,481,5.196323333017062,binary_6
stbfm,26000,898,250.0,240.0,0.0078125,1345,5.221242124971468,binary_7
stbfm,26000,898,250.0,240.0,0.01171875,725,5.204025708022527,binary_8
stbfm,26000,898,500.0,15.0,0.0,6527,1.635553332976997,low
stbfm,26000,898,500.0,15.0,1.0,0,1.4357315829838626,high
stbfm,26000,898,500.0,15.0,0.5,0,1.4376340830349363,binary_1
stbfm,26000,898,500.0,15.0,0.25,0,1.4749817090341821,binary_2
