algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,44000,1908,250.0,15.0,0.0,1136,2.5055027089838404,low
stbfm,44000,1908,250.0,15.0,1.0,0,2.4572971249872353,high
stbfm,44000,1908,250.0,15.0,0.5,0,2.4496140409901273,binary_1
stbfm,44000,1908,250.0,15.0,0.25,0,2.4497445420129225,binary_2
stbfm,44000,1908,250.0,15.0,0.125,0,2.454637000017101,binary_3
stbfm,44000,1908,250.0,15.0,0.0625,0,2.4607367499847896,binary_4
stbfm,44000,1908,250.0,15.0,0.03125,4,2.4640516249928623,binary_5
stbfm,44000,1908,250.0,15.0,0.015625,15,2.4697008329967503,binary_6
stbfm,44000,1908,250.0,15.0,0.0078125,67,2.4884680419927463,binary_7
stbfm,44000,1908,250.0,15.0,0.00390625,144,2.519315999990795,binary_8
stbfm,44000,1908,250.0,30.0,0.0,1931,3.093656208977336,low
stbfm,44000,1908,250.0,30.0,1.0,0,2.9620964170026127,high
stbfm,44000,1908,250.0,30.0,0.5,0,2.9559708750166465,binary_1
stbfm,44000,1908,250.0,30.0,0.25,0,2.961499959026696,binary_2
stbfm,44000,1908,250.0,30.0,0.125,0,2.9618439589976333,binary_3
stbfm,44000,1908,250.0,30.0,0.0625,1,2.9563023329828866,binary_4
stbfm,44000,1908,250.0,30.0,0.03125,6,2.9705542079755105,binary_5
stbfm,44000,1908,250.0,30.0,0.015625,36,2.987089250003919,binary_6
stbfm,44000,1908,250.0,30.0,0.0078125,107,3.010330042015994,binary_7
stbfm,44000,1908,250.0,30.0,0.00390625,212,3.0588552500121295,binary_8
